name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Type,popular
Delhi Bhavan,No,No,3.3,11,Commercial Street,Quick Bites,others,150.0,Dine-out,0
Under The Tree,Yes,No,3.0,64,Domlur,Dessert Parlor,others,200.0,Delivery,0
Fuel Resto Bar,No,No,4.2,38,Richmond Road,others,others,2000.0,Pubs and bars,1
Flavor of Tibet,No,No,4.0,57,Koramangala 5th Block,Casual Dining,others,500.0,Dine-out,1
Toscano,Yes,Yes,4.5,724,Koramangala 7th Block,Casual Dining,others,1500.0,Dine-out,1
AB's - Absolute Barbecues,No,Yes,4.7,1018,Sarjapur Road,Casual Dining,others,1600.0,Buffet,1
Tibetan Mother's Kitchen,Yes,No,4.0,960,Koramangala 7th Block,Casual Dining,others,500.0,Dine-out,1
Royal Calcutta Restaurant,Yes,No,4.0,269,Koramangala 1st Block,Quick Bites,others,450.0,Dine-out,1
LayerBite,Yes,No,3.8,10,BTM,Bakery,others,450.0,Delivery,0
The Chocolate Garden,No,No,3.700141861024285,0,Frazer Town,Delivery,Desserts,200.0,Delivery,0
Lassi Berg,Yes,No,3.5,13,BTM,others,others,100.0,Delivery,0
Ambur Hot Dum Biriyani,No,No,3.1,6,others,Quick Bites,Biryani,200.0,Dine-out,0
Adithya Tiffin Centre,No,No,3.700141861024285,0,Shanti Nagar,"Takeaway, Delivery",North Indian,200.0,Delivery,0
The Hyderabad Chefs,Yes,No,2.8,64,Whitefield,"Takeaway, Delivery",others,600.0,Delivery,0
Sapfresh,No,No,3.700141861024285,0,Koramangala 4th Block,Delivery,Beverages,150.0,Delivery,0
Szechuan Dragon,Yes,No,3.9,181,HSR,Delivery,"Chinese, Thai, Momos",600.0,Delivery,0
Sufra Restaurant,Yes,Yes,3.7,113,HSR,Casual Dining,"North Indian, Chinese",800.0,Delivery,0
A Bar,No,No,3.3,19,HSR,others,"North Indian, Continental",600.0,Dine-out,0
Udupi Thaja Thindi,Yes,No,2.9,42,BTM,Quick Bites,others,250.0,Dine-out,0
Basmati Restaurant,Yes,No,3.4,23,Whitefield,Quick Bites,others,350.0,Delivery,0
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,others,250.0,Dine-out,0
Crazy Pizza,Yes,No,3.700141861024285,0,Brigade Road,others,"Pizza, Fast Food",400.0,Delivery,0
Holiday Fast Food,No,No,3.4,21,Ejipura,Quick Bites,others,350.0,Dine-out,0
STTYTT,Yes,No,3.700141861024285,0,Koramangala 4th Block,"Takeaway, Delivery",others,400.0,Delivery,0
Brew Meister,Yes,Yes,4.1,975,Jayanagar,others,others,1500.0,Drinks & nightlife,1
Hotel Empark,Yes,No,3.4,16,others,Casual Dining,others,800.0,Delivery,0
Fabindia Cafe,No,No,4.2,226,others,Cafe,others,200.0,Cafes,1
Twiststick House,Yes,No,4.1,164,Basavanagudi,Quick Bites,others,500.0,Delivery,1
Adiga Sweets,No,No,3.700141861024285,0,Jayanagar,others,others,200.0,Desserts,0
Manasa Cool Cafe,Yes,No,3.2,7,Electronic City,Cafe,others,300.0,Delivery,0
Bharanis,Yes,No,3.7,16,Domlur,Casual Dining,"Andhra, Biryani",600.0,Dine-out,0
Carnival de Goa,Yes,Yes,4.2,982,Ulsoor,"Casual Dining, Bar",others,1000.0,Dine-out,1
The Wok Shop,Yes,No,3.4,7,Ulsoor,Quick Bites,others,500.0,Delivery,0
Flechazo,No,Yes,4.7,7154,Marathahalli,Casual Dining,others,1400.0,Dine-out,1
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1181,BTM,"Casual Dining, Bar",others,1100.0,Pubs and bars,1
The Bar Stock Exchange,No,No,4.2,643,St. Marks Road,others,others,1300.0,Dine-out,1
Deli Counter - Gateway Hotel,No,No,3.5,6,Residency Road,Dessert Parlor,Bakery,500.0,Desserts,0
Chawla's 2 Online.com,Yes,No,3.9,41,others,"Takeaway, Delivery",North Indian,800.0,Delivery,0
The Boozy Griffin,No,Yes,4.6,5017,Koramangala 5th Block,others,others,1800.0,Dine-out,1
Bunty's Belly,No,No,3.700141861024285,0,Kalyan Nagar,Cafe,others,300.0,Delivery,0
Baking Delite,No,No,3.700141861024285,0,Koramangala 7th Block,"Takeaway, Delivery",Desserts,550.0,Desserts,0
Carnival de Goa,Yes,Yes,4.2,980,Ulsoor,"Casual Dining, Bar",others,1000.0,Dine-out,1
Mist n Creams,Yes,No,3.8,49,Whitefield,Dessert Parlor,Ice Cream,400.0,Delivery,0
1000 B.C,Yes,No,3.2,49,Koramangala 5th Block,Quick Bites,others,300.0,Delivery,0
Night Spoon,Yes,No,2.6,54,BTM,Delivery,others,600.0,Delivery,0
Sandhya Sagar,No,No,3.700141861024285,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian",300.0,Dine-out,0
Freeze It,Yes,No,3.6,6,BTM,Dessert Parlor,Ice Cream,300.0,Delivery,0
DVG Benne Dosa,Yes,No,4.1,29,Domlur,Quick Bites,South Indian,150.0,Dine-out,1
Canopus Multicuisine Restaurant,Yes,No,3.700141861024285,0,Marathahalli,Casual Dining,others,800.0,Delivery,0
Bhartiya Jalpan,No,No,3.700141861024285,0,Commercial Street,Casual Dining,"North Indian, Street Food",700.0,Dine-out,0
Sulaimani Chai,No,No,3.8,21,Koramangala 5th Block,Quick Bites,"Fast Food, Beverages",100.0,Dine-out,0
Sri Vishnu Veg,Yes,No,3.5,15,Marathahalli,Quick Bites,South Indian,200.0,Delivery,0
Thai House,Yes,No,4.3,131,Brigade Road,Casual Dining,others,700.0,Dine-out,1
Toscano,Yes,Yes,4.4,1842,Lavelle Road,Casual Dining,others,1500.0,Dine-out,1
Anda Ka Funda,Yes,No,3.2,64,BTM,Quick Bites,others,250.0,Delivery,0
Bhagatram Sweets,No,No,3.6,223,Commercial Street,Quick Bites,others,300.0,Desserts,0
Taste of Nepal,Yes,No,3.5,24,others,Quick Bites,others,350.0,Delivery,0
Trippy Paradise,Yes,No,2.6,60,BTM,Cafe,Cafe,900.0,Delivery,0
Smaaash,No,Yes,4.2,549,MG Road,others,others,1500.0,Pubs and bars,1
Indian Durbar - Conrad Bengaluru,No,Yes,3.9,49,Ulsoor,others,North Indian,3000.0,Dine-out,0
Galito's,Yes,Yes,4.6,586,Whitefield,Casual Dining,others,1000.0,Dine-out,1
HQ,No,Yes,4.1,564,Whitefield,"Casual Dining, Bar",others,1000.0,Drinks & nightlife,1
Desi Flavours,Yes,No,3.9,121,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Biryani",400.0,Delivery,0
The Sugar Fairy,No,No,4.3,241,Frazer Town,Bakery,"Bakery, Desserts",100.0,Delivery,1
Gulp The Pulp,Yes,No,3.7,19,Koramangala 4th Block,Delivery,others,200.0,Delivery,0
The Green Path - Forgotten Food,No,Yes,4.3,1145,Malleshwaram,Casual Dining,"North Indian, South Indian",1100.0,Buffet,1
Petoo,Yes,No,4.0,23,BTM,Quick Bites,others,400.0,Delivery,1
Poornima Restaurant,No,No,3.3,29,others,Quick Bites,South Indian,200.0,Dine-out,0
Hotel New Grand,No,No,3.700141861024285,0,others,Quick Bites,"North Indian, South Indian, Chinese",350.0,Dine-out,0
Art of Delight,No,No,4.4,1899,Residency Road,Dessert Parlor,others,400.0,Desserts,1
Juice Lounge,Yes,No,3.1,28,BTM,others,others,250.0,Delivery,0
Popsies,Yes,No,3.9,823,Koramangala 5th Block,Casual Dining,"Chinese, Momos",550.0,Delivery,0
Brownie Heaven,Yes,No,4.1,34,Cunningham Road,Dessert Parlor,others,300.0,Desserts,1
Hotel Halli Nenapu,Yes,No,3.4,62,Malleshwaram,others,South Indian,500.0,Dine-out,0
Crunch Pizzas,Yes,No,2.6,473,BTM,Quick Bites,"Italian, Pizza",600.0,Dine-out,0
Ambur Biriyani Centre,No,No,3.2,6,Bellandur,Quick Bites,Biryani,150.0,Dine-out,0
Cake My Day,No,No,3.700141861024285,0,Lavelle Road,Delivery,Desserts,450.0,Desserts,0
Bangalore Cafe,Yes,No,3.7,197,HSR,Quick Bites,"South Indian, Fast Food",400.0,Delivery,0
Bowring Kulfi,No,No,4.0,100,Residency Road,Dessert Parlor,"Ice Cream, Desserts",150.0,Desserts,1
Brooks and Bonds Brewery,Yes,Yes,4.5,3987,Koramangala 5th Block,others,others,1600.0,Delivery,1
Foxtrot - House of Subculture,No,Yes,4.4,373,others,others,others,1000.0,Drinks & nightlife,1
Haji Ali Juice Centre,Yes,No,4.1,79,Commercial Street,others,others,350.0,Delivery,1
Sly Granny - The Community House,No,Yes,4.4,953,Indiranagar,others,others,2500.0,Dine-out,1
Malabar Kitchen,Yes,No,3.2,5,Commercial Street,Quick Bites,others,300.0,Dine-out,0
Cuppa,Yes,No,3.0,119,Electronic City,Cafe,others,700.0,Cafes,0
Sannidhi Grand,No,No,3.2,4,Rajajinagar,Quick Bites,"South Indian, North Indian, Chinese",150.0,Dine-out,0
Al Amanah Cafe,Yes,No,4.4,1418,Kammanahalli,Quick Bites,others,300.0,Delivery,1
Ghar Ke Phulke,No,No,3.700141861024285,0,others,Quick Bites,North Indian,300.0,Delivery,0
Smoor,Yes,No,4.2,289,Malleshwaram,others,others,700.0,Cafes,1
Urban Spice,Yes,No,3.6,23,Ejipura,Casual Dining,"North Indian, Chinese, Continental",800.0,Dine-out,0
Hae Kum Gang,No,Yes,4.4,1190,Brigade Road,Casual Dining,others,1100.0,Dine-out,1
Sangam Sweets,Yes,No,3.8,75,others,others,"Mithai, Street Food",200.0,Desserts,0
Samrudhi Darshini,No,No,3.700141861024285,0,Rajajinagar,Quick Bites,South Indian,250.0,Dine-out,0
Pai Vihar,Yes,No,2.8,55,others,Quick Bites,others,400.0,Delivery,0
Thalassery Restaurant,Yes,No,3.0,530,Whitefield,Casual Dining,others,500.0,Delivery,0
Lets cafe,No,No,3.5,6,Koramangala 5th Block,Quick Bites,"Chinese, North Indian",250.0,Dine-out,0
Ice Berg,Yes,No,3.3,9,Kammanahalli,Quick Bites,Fast Food,300.0,Dine-out,0
Chels Cafe,Yes,No,3.5,20,Cunningham Road,Cafe,others,500.0,Dine-out,0
The Chocolate Heaven,No,No,3.700141861024285,0,Commercial Street,others,others,600.0,Cafes,0
Funjabi,No,No,3.5,140,Church Street,Casual Dining,North Indian,600.0,Delivery,0
Paisa Vasool,Yes,No,3.3,394,Koramangala 7th Block,Quick Bites,North Indian,400.0,Delivery,0
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.3,1104,HSR,Cafe,others,700.0,Dine-out,1
One For The Road,Yes,Yes,4.1,137,Whitefield,others,others,1200.0,Pubs and bars,1
Spoonful Of Sugar,No,No,4.0,861,Indiranagar,others,others,800.0,Cafes,1
Mudpipe Cafe,Yes,No,4.2,744,Cunningham Road,Cafe,others,750.0,Dine-out,1
Friends Night Kitchen,Yes,No,3.8,110,Koramangala 6th Block,"Takeaway, Delivery","Italian, Pizza",400.0,Delivery,0
Indira Canteen,No,No,3.700141861024285,0,Brigade Road,Quick Bites,South Indian,300.0,Dine-out,0
Anika's India Kitchen,Yes,No,3.3,5,HSR,Delivery,"Biryani, North Indian",250.0,Delivery,0
Shudh Desi Khana,Yes,No,3.5,18,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",200.0,Delivery,0
Raptures Chocolates,Yes,No,3.700141861024285,0,Koramangala 4th Block,Delivery,Desserts,250.0,Delivery,0
Paratha Plaza,No,No,3.8,184,HSR,Quick Bites,North Indian,250.0,Dine-out,0
Curries & Pickles,No,No,3.700141861024285,0,Banaswadi,Quick Bites,Andhra,200.0,Dine-out,0
Desi Spicey,No,No,3.700141861024285,0,Indiranagar,Delivery,"North Indian, Chinese",300.0,Delivery,0
Market Table,No,Yes,4.5,556,Koramangala 5th Block,Cafe,others,900.0,Dine-out,1
Neer Dosa Fish Land,No,No,3.6,39,BTM,Casual Dining,others,600.0,Delivery,0
Kenny's Restaurant,Yes,No,3.7,87,Banaswadi,Quick Bites,Chinese,450.0,Delivery,0
Dum Biryani Hub,Yes,No,3.9,66,BTM,Quick Bites,Biryani,700.0,Dine-out,0
Third Wave Coffee Roasters,Yes,No,4.2,141,HSR,Cafe,"Cafe, Continental",800.0,Dine-out,1
Chitu's Kitchen,No,No,3.5,11,Indiranagar,Quick Bites,"North Indian, Chinese",450.0,Dine-out,0
Jyothi Prakash,No,No,3.700141861024285,0,Richmond Road,Quick Bites,South Indian,150.0,Dine-out,0
V.S. Garden Restaurant,No,No,3.5,17,Ejipura,Casual Dining,"North Indian, Chinese",800.0,Dine-out,0
Shakes Theory,Yes,No,4.5,155,Jayanagar,others,others,300.0,Delivery,1
Cupcake Bliss,No,No,3.700141861024285,0,Koramangala 7th Block,Delivery,Bakery,250.0,Delivery,0
Pizza Da Dhaba,No,No,3.2,8,Bannerghatta Road,Quick Bites,others,400.0,Dine-out,0
Nutrition on Wheels,No,No,2.9,23,BTM,"Takeaway, Delivery",others,300.0,Delivery,0
Step Right Up,Yes,No,4.1,159,others,Cafe,others,300.0,Dine-out,1
Bread Crumbs Bakery,No,No,4.0,164,Bannerghatta Road,Bakery,"Desserts, Bakery",250.0,Desserts,1
Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3,166,Ulsoor,others,others,2800.0,Dine-out,1
Chicken Magic,Yes,No,3.7,209,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery,0
Delish Multi Cuisine Andhra Style Restaurant,No,No,3.700141861024285,0,Sarjapur Road,Casual Dining,others,600.0,Delivery,0
Cafe 221B,Yes,Yes,3.7,49,BTM,Cafe,others,300.0,Dine-out,0
Foxtrot - House of Subculture,No,Yes,4.4,373,others,others,others,1000.0,Drinks & nightlife,1
Biriyaniz,Yes,No,3.4,301,HSR,"Takeaway, Delivery",others,400.0,Delivery,0
Pizza Stop,Yes,No,3.9,241,Koramangala 4th Block,Quick Bites,others,600.0,Delivery,0
Healthy Smoothie,No,No,3.700141861024285,0,Bannerghatta Road,Delivery,others,300.0,Delivery,0
Salvadores,No,Yes,4.4,198,MG Road,others,others,2000.0,Dine-out,1
Empire Restaurant,Yes,No,3.9,3831,HSR,Casual Dining,others,750.0,Buffet,0
Bistro Claytopia,Yes,Yes,4.1,1855,Koramangala 1st Block,Cafe,others,600.0,Dine-out,1
Jose's Mess,No,No,4.3,317,BTM,others,others,300.0,Delivery,1
Rolls On Wheels,No,No,3.4,16,BTM,Quick Bites,others,200.0,Delivery,0
Calicut Durbar,Yes,No,3.8,57,Koramangala 7th Block,Quick Bites,others,500.0,Delivery,0
Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Quick Bites,others,300.0,Dine-out,1
Rasta,No,No,3.700141861024285,0,Church Street,others,others,1000.0,Cafes,0
Cafe Coffee Day,No,No,3.700141861024285,0,others,Cafe,"Cafe, Fast Food",900.0,Desserts,0
Om Sweets & Snacks,No,No,3.9,34,Koramangala 5th Block,others,others,150.0,Desserts,0
Lazeez,Yes,No,3.1,911,Koramangala 5th Block,Casual Dining,others,600.0,Delivery,0
Fritz Haber,Yes,No,3.4,4,others,Delivery,"Ice Cream, Desserts",450.0,Delivery,0
Donne Biriyani Mane,No,No,3.700141861024285,0,JP Nagar,Quick Bites,"Biryani, Kebab",250.0,Delivery,0
Cafe Club Kerala Restaurant,No,No,3.700141861024285,0,BTM,Quick Bites,Kerala,300.0,Delivery,0
Sweet Chariot Cafe,Yes,No,3.8,113,Residency Road,Dessert Parlor,"Desserts, Bakery",500.0,Dine-out,0
Soda Bottle Opener Wala,Yes,Yes,4.4,3656,Lavelle Road,others,others,1300.0,Dine-out,1
Andhra Bhojanam,Yes,No,3.6,57,Bellandur,Delivery,Andhra,400.0,Delivery,0
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,others,others,1000.0,Drinks & nightlife,1
Ghar Ki Rasoi,Yes,No,3.700141861024285,0,others,Delivery,"North Indian, South Indian",300.0,Delivery,0
Bhojohori Manna,Yes,No,4.1,1962,Koramangala 6th Block,Casual Dining,others,650.0,Delivery,1
Rajanna Military Hotel,Yes,No,4.1,171,Jayanagar,Quick Bites,"Biryani, Fast Food",400.0,Delivery,1
Cafe Bangalore,Yes,No,3.4,6,others,"Takeaway, Delivery",Fast Food,300.0,Delivery,0
Indian Kitchen,No,No,4.2,493,Malleshwaram,Casual Dining,"North Indian, Mughlai",1500.0,Dine-out,1
Talk Over Table,No,No,4.0,288,others,Cafe,Cafe,500.0,Dine-out,1
Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,others,300.0,Delivery,0
PagalKhana,Yes,Yes,3.9,146,Koramangala 4th Block,Casual Dining,others,1000.0,Delivery,0
New Prashanth Hotel,No,No,3.1,10,Malleshwaram,Quick Bites,"South Indian, Biryani",400.0,Dine-out,0
LayerBite,Yes,No,4.0,17,BTM,Bakery,others,450.0,Desserts,1
Tilt Gastro Lounge,No,Yes,4.1,1237,Koramangala 5th Block,others,others,1500.0,Dine-out,1
World In A Bowl,Yes,No,3.6,20,Koramangala 7th Block,Delivery,others,600.0,Delivery,0
Namma Kudla,Yes,No,4.0,200,JP Nagar,Quick Bites,others,400.0,Dine-out,1
Easy Tiger,No,No,4.3,2264,Church Street,others,others,1100.0,Dine-out,1
Nandhini Deluxe,No,No,3.6,196,Frazer Town,Casual Dining,North Indian,600.0,Dine-out,0
Mexican Taste,Yes,No,3.3,9,New BEL Road,"Takeaway, Delivery",others,200.0,Delivery,0
Odissi Restaurant,Yes,No,2.9,65,BTM,Casual Dining,others,500.0,Delivery,0
Totus,Yes,No,3.700141861024285,0,BTM,Quick Bites,Chinese,300.0,Dine-out,0
The Fiery Indian Kitchen,Yes,No,3.4,7,others,Casual Dining,North Indian,700.0,Delivery,0
AlienSip,Yes,No,3.6,11,BTM,others,others,200.0,Delivery,0
Rahhams,Yes,No,3.5,312,Kammanahalli,Casual Dining,others,700.0,Delivery,0
No 10 Fort Cochin,Yes,Yes,3.8,197,St. Marks Road,Casual Dining,others,800.0,Delivery,0
Naati Biriyani,No,No,3.1,4,BTM,Quick Bites,others,300.0,Dine-out,0
Sukh Sagar,Yes,No,2.7,185,Kammanahalli,Casual Dining,others,450.0,Dine-out,0
Sandwich Hub,Yes,No,3.4,12,Jayanagar,Quick Bites,others,300.0,Delivery,0
Food Plaza,No,No,3.700141861024285,0,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",150.0,Dine-out,0
Bread Crumbs Bakery,No,No,4.0,164,Bannerghatta Road,Bakery,"Desserts, Bakery",250.0,Delivery,1
Juicy Juice,No,No,3.700141861024285,0,Ejipura,others,others,100.0,Delivery,0
Mug N Bean,Yes,No,3.9,247,Jayanagar,Cafe,others,400.0,Cafes,0
Ruchir Restaurant,No,No,3.700141861024285,0,Whitefield,Quick Bites,North Indian,150.0,Delivery,0
Hammered,No,No,3.700141861024285,0,HSR,others,others,1200.0,Pubs and bars,0
Rayalaseema Ruchulu,Yes,No,3.2,112,New BEL Road,Casual Dining,others,700.0,Dine-out,0
Gyani Da Punjabi Dhaba,Yes,No,3.9,1190,BTM,Quick Bites,"North Indian, Chinese",500.0,Delivery,0
Vishnu Sagar,No,No,3.0,33,Commercial Street,Quick Bites,"South Indian, Chinese, North Indian",400.0,Dine-out,0
Vijayalakshmi Veg,Yes,No,3.9,97,Jayanagar,Quick Bites,South Indian,200.0,Delivery,0
Swasthaa,No,No,3.700141861024285,0,others,Casual Dining,others,600.0,Dine-out,0
Art of Delight,No,No,4.3,450,Koramangala 5th Block,Dessert Parlor,others,400.0,Delivery,1
The Humming Tree,Yes,No,4.0,2418,Indiranagar,others,others,1400.0,Delivery,1
Basava Hotel,No,No,3.700141861024285,0,BTM,Quick Bites,South Indian,200.0,Dine-out,0
Sweet Truth,Yes,No,3.8,51,JP Nagar,Delivery,"Bakery, Desserts",500.0,Desserts,0
Smaaash,No,Yes,4.0,189,Whitefield,others,others,1500.0,Pubs and bars,1
Freskka,Yes,No,4.0,702,New BEL Road,Casual Dining,others,700.0,Delivery,1
Malabar Treat,Yes,No,3.4,6,Koramangala 1st Block,Quick Bites,others,500.0,Dine-out,0
Al-Arabi Restaurant,No,No,3.700141861024285,0,Kammanahalli,Casual Dining,Arabian,500.0,Dine-out,0
Fitnest,Yes,No,3.2,16,BTM,Delivery,others,350.0,Delivery,0
Best Biryani,No,No,3.700141861024285,0,Bellandur,Quick Bites,others,300.0,Delivery,0
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Quick Bites,others,550.0,Dine-out,0
Punjabi Khazana,No,No,3.5,40,Indiranagar,Quick Bites,North Indian,400.0,Dine-out,0
Singh Punjabi Dhaba,No,No,3.8,67,BTM,Quick Bites,"North Indian, Chinese",400.0,Dine-out,0
KFC,Yes,No,3.6,206,Cunningham Road,Quick Bites,"Burger, Fast Food",400.0,Delivery,0
Go Native,No,No,3.700141861024285,0,HSR,others,others,800.0,Cafes,0
Haji Ali Juice Centre,No,No,3.8,22,MG Road,others,others,350.0,Cafes,0
TFC - Tony's Food Corner,Yes,No,3.1,23,others,Casual Dining,"North Indian, Chinese",400.0,Dine-out,0
UNIK Food,No,No,3.3,4,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,Delivery,0
Roomali,No,Yes,4.0,182,Church Street,Casual Dining,North Indian,1300.0,Dine-out,1
Whitefield Baking Company - Bengaluru Marriott Hotel...,No,No,3.9,58,Whitefield,others,others,400.0,Desserts,0
Cafe Coffee Day,Yes,No,3.1,13,Sarjapur Road,Cafe,"Cafe, Fast Food",900.0,Desserts,0
Hotel Sri Ayodhya,Yes,No,3.700141861024285,0,others,Quick Bites,South Indian,200.0,Delivery,0
Falooda Cafe,Yes,No,3.700141861024285,0,BTM,Quick Bites,"Beverages, Desserts",200.0,Dine-out,0
Cheers Pub Bar & Restro,No,Yes,3.700141861024285,0,Koramangala 4th Block,others,others,1100.0,Delivery,0
Pulimunchi,Yes,Yes,4.1,533,others,Casual Dining,others,1000.0,Delivery,1
Brewsky,Yes,Yes,4.4,4312,JP Nagar,others,others,1600.0,Drinks & nightlife,1
Royal Treat,No,No,4.1,435,Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Biryani",500.0,Dine-out,1
RBP Greens Garden,Yes,No,2.7,48,BTM,Casual Dining,"North Indian, Chinese",700.0,Delivery,0
JamayCafe,No,No,2.8,16,Kalyan Nagar,Cafe,Cafe,600.0,Dine-out,0
Hotel Reddy Bhavan,Yes,No,3.4,11,HSR,Quick Bites,others,300.0,Delivery,0
Uncle's Kitchen,No,No,3.3,6,BTM,Quick Bites,"North Indian, Chinese, Fast Food",450.0,Delivery,0
Domino's Pizza,Yes,No,4.1,521,BTM,Quick Bites,"Pizza, Fast Food",400.0,Dine-out,1
Aami Bangali,Yes,No,3.6,73,Koramangala 5th Block,Casual Dining,others,700.0,Delivery,0
Tandoori Spot,No,No,3.5,13,JP Nagar,Quick Bites,"North Indian, Chinese",500.0,Dine-out,0
Shawarma Time,Yes,No,3.7,82,Ulsoor,Quick Bites,Arabian,300.0,Delivery,0
Tijouri,No,Yes,4.0,76,others,others,"North Indian, Mughlai",2800.0,Dine-out,1
Invitation Bar & Restaurant,No,No,3.0,15,BTM,others,North Indian,1000.0,Drinks & nightlife,0
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,others,others,1000.0,Drinks & nightlife,1
South Parade - The Chancery Hotel,No,No,3.1,123,Lavelle Road,"Casual Dining, Bar",others,1200.0,Dine-out,0
Magic Paratha Box,No,No,3.700141861024285,0,Marathahalli,Quick Bites,North Indian,400.0,Dine-out,0
The Ganache Factory,Yes,No,4.1,41,Domlur,others,"Desserts, Bakery",400.0,Delivery,1
House Stark Cafe,Yes,No,3.9,44,HSR,Cafe,others,300.0,Cafes,0
Indy's Comfort Food,No,No,4.1,399,Shivajinagar,Quick Bites,others,300.0,Dine-out,1
Mainland China,Yes,Yes,4.5,1150,Malleshwaram,Casual Dining,Chinese,1700.0,Dine-out,1
INDULGE by InnerChef,Yes,No,3.700141861024285,0,JP Nagar,Bakery,"Desserts, Bakery",400.0,Delivery,0
Skylit - Citrus Hotels,No,Yes,4.1,329,Cunningham Road,others,others,1300.0,Dine-out,1
S.L.V Tiffin Room,No,No,3.700141861024285,0,others,Quick Bites,South Indian,150.0,Dine-out,0
Guntur's Vandanam Food Zone,No,No,3.700141861024285,0,Koramangala 1st Block,Quick Bites,others,600.0,Delivery,0
I Cool,Yes,No,4.0,76,JP Nagar,Quick Bites,others,150.0,Delivery,1
Zeeshan,Yes,No,3.1,320,JP Nagar,Casual Dining,others,700.0,Delivery,0
Oliver Wraps,Yes,No,3.1,8,HSR,"Takeaway, Delivery",others,300.0,Delivery,0
Baba Ka Dhaba,Yes,No,3.7,195,BTM,Quick Bites,North Indian,400.0,Dine-out,0
RR Catering,No,No,3.4,10,MG Road,Quick Bites,"North Indian, Chinese, Biryani",350.0,Dine-out,0
Nandhini,Yes,No,3.7,111,Banaswadi,"Casual Dining, Bar",others,600.0,Dine-out,0
R.K Caterers,No,No,3.700141861024285,0,Frazer Town,Quick Bites,North Indian,350.0,Delivery,0
Get Ur Fix,Yes,No,3.700141861024285,0,Marathahalli,others,"Fast Food, Beverages",300.0,Delivery,0
Comfert Foods,No,No,3.700141861024285,0,others,Quick Bites,North Indian,200.0,Dine-out,0
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,Dessert Parlor,"Desserts, Beverages",450.0,Desserts,1
Shanmukha,Yes,No,3.8,138,Old Airport Road,Casual Dining,others,800.0,Delivery,0
Kanha's Kafe,No,No,3.5,12,Koramangala 5th Block,Quick Bites,others,200.0,Delivery,0
Kolkata Famous Kati Roll,Yes,No,3.700141861024285,0,others,Quick Bites,Fast Food,150.0,Delivery,0
Foodies Hub,Yes,No,3.1,8,Sarjapur Road,Quick Bites,others,500.0,Dine-out,0
Shiv Sagar,No,No,3.9,152,Koramangala 7th Block,others,others,500.0,Dine-out,0
Chef Baker's,Yes,No,3.8,124,Whitefield,others,others,400.0,Cafes,0
Kailash Parbat,No,No,3.1,28,Bannerghatta Road,others,"North Indian, Street Food",600.0,Dine-out,0
Kapoor's Cafe,Yes,No,4.2,150,Jayanagar,Casual Dining,North Indian,800.0,Delivery,1
Punjabi Times,Yes,Yes,4.1,1028,Bannerghatta Road,Casual Dining,North Indian,1000.0,Delivery,1
Flying Cakes,Yes,No,3.1,16,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Desserts,0
Nammura Donne Biriyani,Yes,No,3.6,68,BTM,Quick Bites,"Andhra, Biryani",300.0,Dine-out,0
Laa Raiba Restaurant,Yes,No,3.3,7,Bannerghatta Road,Quick Bites,others,300.0,Dine-out,0
Ghar Ka Bhojan,No,No,3.3,7,Domlur,Delivery,others,200.0,Delivery,0
Slanz Cafe,Yes,No,3.6,99,others,Cafe,others,500.0,Delivery,0
Star Food County,Yes,No,3.4,11,others,others,Fast Food,300.0,Dine-out,0
Salkara Arabian Delight & Bakes,Yes,No,3.700141861024285,0,Koramangala 1st Block,Quick Bites,others,300.0,Delivery,0
Hotel Devanand Kerala Restaurant,Yes,No,3.4,94,others,Quick Bites,Kerala,300.0,Delivery,0
Dreams Cafe - All Day English Food St.,Yes,No,3.8,230,Koramangala 1st Block,Cafe,others,600.0,Dine-out,0
Desi Inn,Yes,No,3.5,13,Shanti Nagar,Quick Bites,North Indian,300.0,Delivery,0
Kairali Restaurant,Yes,No,3.4,19,Electronic City,Quick Bites,"Kerala, South Indian",400.0,Dine-out,0
Desi Cream Junction,Yes,Yes,3.7,36,Jayanagar,Casual Dining,others,650.0,Dine-out,0
Le Spice Restaurant,Yes,No,3.4,122,Banaswadi,Casual Dining,others,700.0,Dine-out,0
